Data,Temperatūra,Miestas
"2024-04-16, 10:16 AM",2.79,Anchorage
"2024-04-16, 10:16 AM",2.79,Anchorage
"2024-04-16, 10:16 AM",7.49,Vilnius
"2024-04-16, 10:23 AM",12.37,New York
"2024-04-16, 10:54 AM",21.31,USA
"2024-04-16, 11:59 AM",6.14,Kaunas
"2024-04-16, 12:02 PM",8.62,Priekule
"2024-04-16, 12:02 PM",11.02,Priekulė
"2024-04-17, 07:33 AM",13.03,New York
"2024-04-17, 07:34 AM",23.57,Miami
"2024-04-17, 07:37 AM",15.91,Puerto Rico
"2024-04-22, 09:50 AM",6.3,New York
"2024-04-22, 10:02 AM",0.49,Vilnius
"2024-04-22, 10:14 AM",0.49,Vilnius
"2024-04-22, 10:16 AM",0.49,Vilnius
